Topic	Scene	ChangedInfos	Reminder	Derivation
83AF6F	MEPSexObserveGuardAlone	3	Reminder: I said stop!	contextual response in reminder topic
83F606	MEPFarmerSlaveryDelivery	4	Reminder: Now fetch fruit and vegetables from the barrel, my horny little fuck-mare.	preceding scene dialogue 83F604
83F60B	MEPFarmerSlaveryDelivery	4	Reminder: put the basket around your neck.	manual scene-specific mapping
8688C2	MEPJailEndGallows	5	Reminder: Get up there!	preceding scene dialogue 8688C0
8EBD0A	MEPFuckmeatScene	2	Reminder: Come on, pick them up!	contextual response in reminder topic
998415	MEPSimplyDancingDance	4	Reminder: keep dancing and follow the last performance instruction.	manual scene-specific mapping
998431	MEPSimplyDancingMasturbate	5	Reminder: keep masturbating, then perform the ordered climax.	manual scene-specific mapping
99D57E	MEPSimplyDancingBegin	5	Reminder: Now find a good spot and get started!	preceding scene dialogue 97EE14
99D7AB	MEPSlaveTransportBuy	4	Reminder: Go to the trader and present yourself!	preceding scene dialogue 99D7A9
9AC927	MEPStopSittingScene	6	Reminder: Get down from there. Now!	preceding scene dialogue 9AC925
9B6B83	MEPUnshavedScene	5	Reminder: shave the body hair you were told to remove.	manual scene-specific mapping
9BBCE7	MEPJobArrived	4	Reminder: shave your pubic hair.	manual scene-specific mapping
9BBCFE	MEPJobArrived	5	Reminder: shave your armpits.	manual scene-specific mapping
9BBD0A	MEPJobArrived	5	Reminder: shave your legs.	manual scene-specific mapping
9BBD14	MEPJobArrived	5	Reminder: shave your arms.	manual scene-specific mapping
9BBD5C	MEPKillBrainScene	5	Reminder: drink what you were given.	manual scene-specific mapping
9DA3E5	MEPStopRidingScene	9	Reminder: Get off the horse!	contextual response in reminder topic
9DF4F5	MEPCummedScene	9	Reminder: Come on: Clean yourself up. Now!	contextual response in reminder topic
A818B4	MEPWearPumpPlugBegin	9	Reminder: Come on, put it inside you! All the way in. Right to the hilt!	preceding scene dialogue A818B2
A869F5	MEPWearPumpReEquip	9	Reminder: Put it in. Now!	preceding scene dialogue A869F3
AFB420	MEPPimpStartupWithFollower	6	Reminder: Here. Put this on!	preceding scene dialogue AFB41E
B0F40C	MEPBrothelWelcomeWhore1	5	Reminder: Now stand up and use your fingers to spread your labia as wide as you can.	preceding scene dialogue B0F40A
B0F420	MEPBrothelWelcomeWhore1	5	Reminder: Now I want to see your ass. Turn around and spread your cheeks wide.	preceding scene dialogue B0F41E
B0F433	MEPBrothelWelcomeWhore1	5	Reminder: That's enough. Now stand on your tiptoes and keep your hands behind your head!	preceding scene dialogue B0F431
B0F43B	MEPBrothelWelcomeWhore1	5	Reminder: Good, now open your mouth wide and keep it open!	preceding scene dialogue B0F439
B0F448	MEPBrothelWelcomeWhore1	5	Reminder: Come here to me!	preceding scene dialogue B0F446
B289D6	MEPNecroDeathScene	4	Reminder: Come here, slave!	preceding scene dialogue B289D4
B65C9D	MEPPimpSlavesNames	2	Reminder: come here now.	manual scene-specific mapping
B93147	MEPBodyModPetBranding	5	Reminder: use your tongue on the spot you were shown.	manual scene-specific mapping
BC112C	MEPFetchForbiddenItemsScene	6	Reminder: drink the potion you were given.	manual scene-specific mapping
CC8965	MEPPimpHygieneNails	3	Reminder: use the makeup bag to fix your nails.	manual scene-specific mapping
CC8973	MEPPimpHygieneHair	3	Reminder: use the makeup bag to fix your hair.	manual scene-specific mapping
CC897F	MEPPimpHygieneLids	3	Reminder: use the makeup bag on your eyelids.	manual scene-specific mapping
CC899B	MEPPimpHygieneLips	3	Reminder: use the makeup bag on your lips.	manual scene-specific mapping
CDCDCE	MEPLickCumBegin	8	Reminder: There's semen on the floor here. Lick it up!	preceding scene dialogue CDCDCC
CDCDDB	MEPLickCumNext	8	Reminder: You're not finished yet. Here's some more semen!	preceding scene dialogue CDCDD9
CE7011	MEPWashMyFeetScene	6	Reminder: Get down on all fours and get started!	preceding scene dialogue CE700F
D149C9	MEPPimpHygieneEyeLiner	3	Reminder: use the makeup bag to apply eyeliner.	manual scene-specific mapping
D1E3AA	MEPPeePampa	4	Reminder: Of course you may remove the dildo, but you'll put it back in immediately afterward!	preceding scene dialogue D1E3A6
DE46D4	MEPJohnInspectPlayer	2	Reminder: come over to the waiting client.	manual scene-specific mapping
DE46E2	MEPJohnInspectPlayer	5	Reminder: Come on, strip! My client wants something to look at.	preceding scene dialogue DE46DB
DFDD11	MEPJohnInspectWhores	2	Reminder: come here now.	manual scene-specific mapping
E07FA6	MEPJohnInspectWhores	2	Reminder: come here now.	manual scene-specific mapping
E62752	(not used by a scene)	3	Reminder: follow your escort to the device.	manual scene-specific mapping
E7C89A	MEPDinerInTavern	8	Reminder: kneel over the bowl and lick it clean when ordered.	manual scene-specific mapping
EFF8B9	MEPTavernJobDontSit	6	Reminder: Get down from there. Now!	contextual response in reminder topic
F13CF5	MEPTavernJobDontSitWhip	4	Reminder: Get down from there. Now!	contextual response in reminder topic
