Priority,Enabled,Status,SourceMod,Category,Bucket,MatchedLocal,Score,ArchivePath,ArchiveScore,NexusID,NexusURL,DownloadFile
38,+,MissingWithArchive,.NET Script Framework,SKSE Utility Mods,bugfix-utility,Description Framework,0.829,E:\Games\Tsukiro2\Downloads\NetScriptFramework SkyrimSE v18-21294-18-1635489335.zip,1.000,21294,https://www.nexusmods.com/skyrimspecialedition/mods/21294,NetScriptFramework SkyrimSE v18-21294-18-1635489335.zip
39,+,Present,PrivateProfileRedirector SE - Faster game start (INI file cacher),SKSE Utility Mods,bugfix-utility,PrivateProfileRedirector SE - Faster game start (INI file cacher),1.000,,,18860,https://www.nexusmods.com/skyrimspecialedition/mods/18860,PrivateProfileRedirector SE 0.6.2 (Runtime 1.5.97)-18860-0-6-2-1727798707.zip
40,+,MissingWithArchive,Recursion FPS Fix SKSE,SKSE Utility Mods,bugfix-utility,First Person (FP) Inertia - SKSE,0.680,E:\Games\Tsukiro2\Downloads\Recursion Fix-76867-1-2-1666911818.rar,1.000,76867,https://www.nexusmods.com/skyrimspecialedition/mods/76867,Recursion Fix-76867-1-2-1666911818.rar
41,+,Present,Papyrus Tweaks NG,SKSE Utility Mods,bugfix-utility,Papyrus Tweaks NG,1.000,,,77779,https://www.nexusmods.com/skyrimspecialedition/mods/77779,Papyrus Tweaks 4.1.0-77779-4-1-0-1677126184.rar
42,+,Present,AnimObject Swapper,SKSE Utility Mods,bugfix-utility,AnimObject Swapper,1.000,,,75167,https://www.nexusmods.com/skyrimspecialedition/mods/75167,AnimObject Swapper-75167-1-1-0-1666410165.7z
44,+,Present,Faster HDT-SMP 3.3.0,SKSE Utility Mods,bugfix-utility,Faster HDT-SMP,1.000,,,0,,"E:/My Skyrim mods/Skin, Body, Hair & Presets/FSMP 3.3.0.zip"
45,+,MissingWithArchive,YEET - Store Quest Items,SKSE Utility Mods,quests-followers,Even Better Quest Objectives SE,0.600,E:\Games\Tsukiro2\Downloads\YEET - Store Quest Items-65732-0-2-1657450857.7z,1.000,65732,https://www.nexusmods.com/skyrimspecialedition/mods/65732,YEET - Store Quest Items-65732-0-2-1657450857.7z
46,+,Present,Auto Parallax,SKSE Utility Mods,graphics,Auto Parallax,1.000,,,79473,https://www.nexusmods.com/skyrimspecialedition/mods/79473,Auto Parallax-79473-1-0-27-1669777275.zip
47,+,Present,Media Keys Fix SKSE,SKSE Utility Mods,bugfix-utility,Media Keys Fix SKSE,1.000,,,92948,https://www.nexusmods.com/skyrimspecialedition/mods/92948,Media Keys Fix-92948-1-0-0-1686013671.7z
48,+,Present,DPI Scaling Fix,SKSE Utility Mods,bugfix-utility,DPI Scaling Fix,1.000,,,95740,https://www.nexusmods.com/skyrimspecialedition/mods/95740,DPI Scaling Fix-95740-1-0-1689242798.zip
49,+,Present,Dynamic Activation Key,SKSE Utility Mods,bugfix-utility,Dynamic Activation Key,1.000,,,96273,https://www.nexusmods.com/skyrimspecialedition/mods/96273,Dynamic Activation Key-96273-1-02-1693177288.zip
50,+,Present,Rogue's Gallery,SKSE Utility Mods,bugfix-utility,Rogue's Gallery,1.000,,,99482,https://www.nexusmods.com/skyrimspecialedition/mods/99482,RG Main File-99482-1-0-0-1-1693794412.7z
51,+,Present,Disk Cache Enabler,SKSE Utility Mods,bugfix-utility,Disk Cache Enabler,1.000,,,100975,https://www.nexusmods.com/skyrimspecialedition/mods/100975,DiskCacheEnabler-1.2-100975-1-2-1705561431.zip
52,+,Present,FormList Manipulator - FLM,SKSE Utility Mods,bugfix-utility,FormList Manipulator - FLM,1.000,,,74037,https://www.nexusmods.com/skyrimspecialedition/mods/74037,FormList Manipulator - FLM-74037-1-8-1-1727507011.zip
53,+,Missing,Backported Extended ESL Support,SKSE Utility Mods,bugfix-utility,Detection Meter - AE Support,0.519,,,106441,https://www.nexusmods.com/skyrimspecialedition/mods/106441,BEES-1_2-106441-1-2-1702155399.zip
54,+,MissingWithArchive,Item Equip Restrictor,SKSE Utility Mods,ui,Container Item Distributor,0.553,E:\Games\Tsukiro2\Downloads\Item Equip Restrictor-108665-1-4-0-1706306497.7z,1.000,108665,https://www.nexusmods.com/skyrimspecialedition/mods/108665,Item Equip Restrictor-108665-1-4-0-1706306497.7z
55,+,Present,Sky Reflection Fix,SKSE Utility Mods,bugfix-utility,Sky Reflection Fix,1.000,,,110604,https://www.nexusmods.com/skyrimspecialedition/mods/110604,Sky Reflection Fix-110604-1-0-1-1706805413.zip
56,+,Present,Persistent Favorites,SKSE Utility Mods,bugfix-utility,Persistent Favorites,1.000,,,118174,https://www.nexusmods.com/skyrimspecialedition/mods/118174,Persistent Favorites-118174-0-3-1-1719530745.zip
57,+,Missing,Universal (SKSE) Rim Lighting Fix,SKSE Utility Mods,bugfix-utility,Universal Cured Serana Eye Fix,0.557,,,119367,https://www.nexusmods.com/skyrimspecialedition/mods/119367,Universal Rim Lighting Fix-119367-1-1-1715731621.zip
58,+,Present,No Opposite Gender Animations NG,SKSE Utility Mods,animations,No Opposite Gender Animations NG,1.000,,,101357,https://www.nexusmods.com/skyrimspecialedition/mods/101357,NoOppositeGenderAnimsNG-101357-1-1-1695727627.7z
59,+,Present,Container Item Distributor,SKSE Utility Mods,bugfix-utility,Container Item Distributor,1.000,,,99486,https://www.nexusmods.com/skyrimspecialedition/mods/99486,Container Item Distributor-99486-2-1-3-1733635860.7z
60,+,Present,Andrealphus' Papyrus Functions,SKSE Utility Mods,bugfix-utility,Andrealphus' Papyrus Functions,1.000,,,85252,https://www.nexusmods.com/skyrimspecialedition/mods/85252,Andrealphus Papyrus Functions-85252-1-6-1-1754260725.7z
61,+,Present,Mum's the Word NG,SKSE Utility Mods,bugfix-utility,Mum's the Word NG,1.000,,,77409,https://www.nexusmods.com/skyrimspecialedition/mods/77409,Mum's the Word-77409-2-1-1666299465.zip
62,+,Present,LeveledList Crash Fix,SKSE Utility Mods,bugfix-utility,LeveledList Crash Fix,1.000,,,129136,https://www.nexusmods.com/skyrimspecialedition/mods/129136,Leveled List Crash Fix-129136-1-1-1-1729025987.7z
63,+,MissingWithArchive,LeveledList Crash Fix for Skyrim 1.5,SKSE Utility Mods,bugfix-utility,LeveledList Crash Fix,0.792,E:\Games\Tsukiro2\Downloads\1_LeveledList Crash Fix for Skyrim 1.5-129152-1-1-0-1726421993.7z,1.000,129152,https://www.nexusmods.com/skyrimspecialedition/mods/129152,1_LeveledList Crash Fix for Skyrim 1.5-129152-1-1-0-1726421993.7z
64,+,Present,MergeMapper,SKSE Utility Mods,bugfix-utility,MergeMapper,1.000,,,74689,https://www.nexusmods.com/skyrimspecialedition/mods/74689,MergeMapper-74689-1-5-0-1683883576.7z
65,+,Present,Dynamic Armor Variants,SKSE Utility Mods,armor-clothing,Dynamic Armor Variants,1.000,,,65963,https://www.nexusmods.com/skyrimspecialedition/mods/65963,Dynamic Armor Variants-65963-1-0-5-1665251802.7z
66,+,MissingWithArchive,Dynamic Armor Variants for Skyrim 1.5,SKSE Utility Mods,armor-clothing,Dynamic Armor Variants,0.800,E:\Games\Tsukiro2\Downloads\Dynamic Armor Variants for Skyrim 1.5-88302-1-0-5-SE-2-1739481651.7z,1.000,88302,https://www.nexusmods.com/skyrimspecialedition/mods/88302,Dynamic Armor Variants for Skyrim 1.5-88302-1-0-5-SE-2-1739481651.7z
67,+,Present,Scrab's Papyrus Extender,SKSE Utility Mods,bugfix-utility,Scrab's Papyrus Extender,1.000,,,115164,https://www.nexusmods.com/skyrimspecialedition/mods/115164,Scrabs Papyrus Extender-115164-2-1-5-1742395251.7z
68,+,Present,RemoveAllItems Freeze Fix,SKSE Utility Mods,bugfix-utility,RemoveAllItems Freeze Fix,1.000,,,90734,https://www.nexusmods.com/skyrimspecialedition/mods/90734,RemoveAllItems Freeze Fix-90734-1-1-0-1689633901.zip
69,+,Present,dTry's Key Utils,SKSE Utility Mods,bugfix-utility,dTry's Key Utils,1.000,,,69944,https://www.nexusmods.com/skyrimspecialedition/mods/69944,dTry's Key Utils SE-69944-1-1-1655790357.7z
70,+,Present,dTry Plugin Updates,SKSE Utility Mods,bugfix-utility,dTry Plugin Updates,1.000,,,85740,https://www.nexusmods.com/skyrimspecialedition/mods/85740,dTry Plugin Updates-85740-1-0-3-1696691628.zip
71,+,Present,Perk Entry Point Extender,SKSE Utility Mods,bugfix-utility,Perk Entry Point Extender,1.000,,,91192,https://www.nexusmods.com/skyrimspecialedition/mods/91192,PEPE Main File-91192-1-2-0-5-1706633796.7z
72,+,Present,Skyrim Autocorrect - Dialogue Grammar Fixes,SKSE Utility Mods,quests-followers,Skyrim Autocorrect - Dialogue Grammar Fixes,1.000,,,141632,https://www.nexusmods.com/skyrimspecialedition/mods/141632,Skyrim Autocorrect - Standalone Aesthetics Addon-141632-1-0-4-1741329118.zip
73,+,Present,Dynamic Dialogue Replacer,SKSE Utility Mods,quests-followers,Dynamic Dialogue Replacer,1.000,,,135618,https://www.nexusmods.com/skyrimspecialedition/mods/135618,Dynamic Dialogue Replacer-135618-1-2-0-1748941293.7z
74,+,Present,Terrain Helper for ENB,SKSE Utility Mods,graphics,Terrain Helper for ENB,1.000,,,143149,https://www.nexusmods.com/skyrimspecialedition/mods/143149,Terrain Helper-143149-0-4-0-1750016028.zip
75,+,Present,Light Placer,SKSE Utility Mods,bugfix-utility,Light Placer,1.000,,,127557,https://www.nexusmods.com/skyrimspecialedition/mods/127557,Light Placer-127557-3-5-1-1756423420.7z
76,+,MissingWithArchive,NL_MCM - A Modular MCM Framework,SKSE Utility Mods,ui,Modular Armory,0.591,E:\Games\Tsukiro2\Downloads\NL_MCM_SSE-49127-1-1-4-1717208748.zip,1.000,49127,https://www.nexusmods.com/skyrimspecialedition/mods/49127,NL_MCM_SSE-49127-1-1-4-1717208748.zip
77,+,Present,Magic Fixes and Tweaks SKSE,SKSE Utility Mods,bugfix-utility,Magic Fixes and Tweaks SKSE,1.000,,,148647,https://www.nexusmods.com/skyrimspecialedition/mods/148647,Magic Tweaks-148647-1-2-0-1-1749940922.7z
78,+,MissingWithArchive,Magic Fixes and Tweaks for Skyrim 1.5,SKSE Utility Mods,bugfix-utility,Magic Fixes and Tweaks SKSE,0.833,E:\Games\Tsukiro2\Downloads\Magic Fixes and Tweaks for Skyrim 1.5-148821-1-2-0-1-SE-1750823560.7z,1.000,148821,https://www.nexusmods.com/skyrimspecialedition/mods/148821,Magic Fixes and Tweaks for Skyrim 1.5-148821-1-2-0-1-SE-1750823560.7z
79,+,Present,FenixFixes,SKSE Utility Mods,bugfix-utility,FenixFixes,1.000,,,0,,FenixFixes.zip
80,+,Present,Explosion Collision Fix,SKSE Utility Mods,bugfix-utility,Explosion Collision Fix,1.000,,,154076,https://www.nexusmods.com/skyrimspecialedition/mods/154076,Explosion Collision Fix-154076-1-0-0-1751604176.zip
81,+,MissingWithArchive,Best in Class for Skyrim 1.5,SKSE Utility Mods,bugfix-utility,Best In Class - SKSE Remake,0.735,E:\Games\Tsukiro2\Downloads\Best in Class for Skyrim 1.5-148087-2-0-3-SE-1745186397.zip,1.000,148087,https://www.nexusmods.com/skyrimspecialedition/mods/148087,Best in Class for Skyrim 1.5-148087-2-0-3-SE-1745186397.zip
82,+,Present,KiLoader for Skyrim,SKSE Utility Mods,bugfix-utility,KiLoader for Skyrim,1.000,,,99404,https://www.nexusmods.com/skyrimspecialedition/mods/99404,KiLoader for Skyrim-99404-1-2-1713391803.7z
83,+,Present,ENB Extender for Skyrim,SKSE Utility Mods,graphics,ENB Extender for Skyrim,1.000,,,99406,https://www.nexusmods.com/skyrimspecialedition/mods/99406,ENB Extender Skyrim-99406-1-3-2-1751141455.7z
84,+,Missing,crash_fixes by 0572,SKSE Utility Mods,bugfix-utility,CWE bug fixes,0.667,,,0,,C:/Users/tld/Downloads/crash_fixes.zip
85,+,Present,Auto Resolution,SKSE Utility Mods,bugfix-utility,Auto Resolution,1.000,,,122915,https://www.nexusmods.com/skyrimspecialedition/mods/122915,Auto Resolution-122915-1-1-0-1727086671.zip
86,+,Present,CrosshairRefEventsFix,SKSE Utility Mods,bugfix-utility,CrosshairRefEventsFix,1.000,,,0,,CrosshairRefEventsFix_v0.0.1.7z
88,+,Present,Scrambled Bugs,SKSE Utility Mods,bugfix-utility,Scrambled Bugs,1.000,,,43532,https://www.nexusmods.com/skyrimspecialedition/mods/43532,Scrambled Bugs (Special Edition)-43532-17-1646905605.7z
89,+,Present,Actor Limit Fix,SKSE Utility Mods,bugfix-utility,Actor Limit Fix,1.000,,,32349,https://www.nexusmods.com/skyrimspecialedition/mods/32349,Actor Limit Fix (Special Edition)-32349-5-1646905082.7z
90,+,Present,Hide Quest Items in Container Menu,SKSE Utility Mods,quests-followers,Hide Quest Items in Container Menu,1.000,,,51243,https://www.nexusmods.com/skyrimspecialedition/mods/51243,Hide Quest Items in Container Menu-51243-0-9-1729968184.7z
91,+,Present,Sharpen Other Swords,SKSE Utility Mods,bugfix-utility,Sharpen Other Swords,1.000,,,52723,https://www.nexusmods.com/skyrimspecialedition/mods/52723,Sharpen Other Swords-52723-0-1-1627037518.7z
92,+,MissingWithArchive,Pickpocket Reset,SKSE Utility Mods,bugfix-utility,Dwemer Gates Don't Reset,0.450,E:\Games\Tsukiro2\Downloads\Pickpocket Reset-13838-1-1-1-1618526480.7z,1.000,13838,https://www.nexusmods.com/skyrimspecialedition/mods/13838,Pickpocket Reset-13838-1-1-1-1618526480.7z
93,+,Present,dunPOISoldiersRaidOnStart Script Tweak,SKSE Utility Mods,bugfix-utility,dunPOISoldiersRaidOnStart Script Tweak,1.000,,,62925,https://www.nexusmods.com/skyrimspecialedition/mods/62925,dunPOISoldiersRaidOnStart Script Tweak-62925-1-0-0-1643724953.7z
94,+,Present,First Person Sneak Strafe-Walk Stutter Fix,SKSE Utility Mods,bugfix-utility,First Person Sneak Strafe-Walk Stutter Fix,1.000,,,31165,https://www.nexusmods.com/skyrimspecialedition/mods/31165,First Person Sneak Strafe-Walk Stutter Fix-31165-1-0-1577054070.7z
95,+,Present,Nifty AI Tweaks AIO - SSE,SKSE Utility Mods,bugfix-utility,Nifty AI Tweaks AIO - SSE,1.000,,,52035,https://www.nexusmods.com/skyrimspecialedition/mods/52035,Nifty AI Tweaks AIO - SSE Crafting Spinning Death-52035-2A-1625638666.zip
96,+,MissingWithArchive,Power of Creation - Fishing,SKSE Utility Mods,bugfix-utility,Beards of Power,0.600,E:\Games\Tsukiro2\Downloads\Power of Creation - Fishing-58354-1-1-1636923149.zip,1.000,58354,https://www.nexusmods.com/skyrimspecialedition/mods/58354,Power of Creation - Fishing-58354-1-1-1636923149.zip
97,+,Present,Dwemer Gates Don't Reset,SKSE Utility Mods,bugfix-utility,Dwemer Gates Don't Reset,1.000,,,26331,https://www.nexusmods.com/skyrimspecialedition/mods/26331,Dwemer Gates Don't Reset-26331-1-3-7-1674639928.7z
98,+,MissingWithArchive,bc036's Tweaks,SKSE Utility Mods,bugfix-utility,powerofthree's Tweaks,0.667,E:\Games\Tsukiro2\Downloads\bc036's Tweaks-58408-1-1-1637009353.zip,1.000,58408,https://www.nexusmods.com/skyrimspecialedition/mods/58408,bc036's Tweaks-58408-1-1-1637009353.zip
99,+,Present,Andrealphus' Exploit Fixes,SKSE Utility Mods,bugfix-utility,Andrealphus' Exploit Fixes,1.000,,,46753,https://www.nexusmods.com/skyrimspecialedition/mods/46753,Telekinesis - XP Exploit Fix-46753-1-0-1633533329.7z
100,+,Present,Fish Anywhere With Water,SKSE Utility Mods,graphics,Fish Anywhere With Water,1.000,,,60915,https://www.nexusmods.com/skyrimspecialedition/mods/60915,Fish Anywhere With Water-60915-0-5-1648946832.7z
101,+,Present,Soul-Cairn Objects Secured,SKSE Utility Mods,bugfix-utility,Soul-Cairn Objects Secured,1.000,,,59741,https://www.nexusmods.com/skyrimspecialedition/mods/59741,Soul-Cairn Objects Secured-59741-1-1-1651563988.7z
102,+,MissingWithArchive,Skyrim Project Optimization SE,SKSE Utility Mods,bugfix-utility,Campfire - Script Optimization,0.655,E:\Games\Tsukiro2\Downloads\Skyrim SE - Project Optimization - NO HOMES - ESL VERSION-14084-1-4-1611044112.zip,1.000,14084,https://www.nexusmods.com/skyrimspecialedition/mods/14084,Skyrim SE - Project Optimization - NO HOMES - ESL VERSION-14084-1-4-1611044112.zip
103,+,Present,Bard Instrumentals Mostly - Sing Rarely,SKSE Utility Mods,bugfix-utility,Bard Instrumentals Mostly - Sing Rarely,1.000,,,10927,https://www.nexusmods.com/skyrimspecialedition/mods/10927,Bard Instrumentals Mostly - Sing Rarely-10927-1-0.7z
104,+,MissingWithArchive,Mannequin Management,SKSE Utility Mods,ui,Mannequin Extended Limit,0.636,E:\Games\Tsukiro2\Downloads\Mannequin Management-38221-4-1-1694792205.7z,1.000,38221,https://www.nexusmods.com/skyrimspecialedition/mods/38221,Mannequin Management-38221-4-1-1694792205.7z
105,+,Present,Horns Are Forever (Persistent Argonian Horns),SKSE Utility Mods,bugfix-utility,Horns Are Forever (Persistent Argonian Horns),1.000,,,1139,https://www.nexusmods.com/skyrimspecialedition/mods/1139,Horns Are Forever SE-1139-1-1.rar
106,+,MissingWithArchive,Stay At The System Page - Updated,SKSE Utility Mods,bugfix-utility,Stay At The System Page NG,0.842,E:\Games\Tsukiro2\Downloads\Stay At System Page-19832-1-5-0-1583022131.zip,1.000,19832,https://www.nexusmods.com/skyrimspecialedition/mods/19832,Stay At System Page-19832-1-5-0-1583022131.zip
107,+,MissingWithArchive,Player Eyes Blink Fix,SKSE Utility Mods,bugfix-utility,Show Player In Menus,0.585,E:\Games\Tsukiro2\Downloads\Blinking Player Eyes-21713-1-3-1544943889.7z,1.000,21713,https://www.nexusmods.com/skyrimspecialedition/mods/21713,Blinking Player Eyes-21713-1-3-1544943889.7z
108,+,Present,Mfg Fix,SKSE Utility Mods,bugfix-utility,Mfg Fix,1.000,,,11669,https://www.nexusmods.com/skyrimspecialedition/mods/11669,MfgFix-11669-1-6-1-1664520342.7z
109,+,Present,Mfg Fix NG,SKSE Utility Mods,bugfix-utility,Mfg Fix NG,1.000,,,133568,https://www.nexusmods.com/skyrimspecialedition/mods/133568,MfgFix NG-133568-1-0-4-1751958968.7z
110,+,Present,Blacksmith Forge Water Fix xEdit Script,SKSE Utility Mods,graphics,Blacksmith Forge Water Fix xEdit Script,1.000,,,29758,https://www.nexusmods.com/skyrimspecialedition/mods/29758,Water Trough Mesh-29758-1-4-1595447340.zip
111,+,Present,Floating Ash Pile Fix,SKSE Utility Mods,bugfix-utility,Floating Ash Pile Fix,1.000,,,63434,https://www.nexusmods.com/skyrimspecialedition/mods/63434,Floating Ash Pile Fix-63434-0-3-1758512841.7z
112,+,Missing,Divine Crusader Creation Club Sword Fix,SKSE Utility Mods,bugfix-utility,Crossbow Integration (Including Creation Club),0.578,,,15089,https://www.nexusmods.com/skyrimspecialedition/mods/15089,Divine Crusader Creation Club Sword Fix-15089-1-0.7z
